key,de,en
navbar__about_toplevel,Einführung,Introduction
navbar__about_project,Über das Projekt,About the project
navbar__about_bvg,Das Bundes-Verfassungsgesetz,The Federal Constitutional Law (B-VG)
navbar__sources,Quellen,Sources
navbar__sources_intro,Einführung,Introduction
navbar__toc,Suche,Search
navbar__register,Register,Register
navbar__persons,Personen,Person
navbar__places,Orte,Places
navbar__orgs,Organisationen,Institutions
navbar__works,Werke,Works
navbar__search,Volltextsuche,Full-Text Search
